DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2016,20.14,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2017,20.23,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2018,20.32,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2008,35.25,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2009,35.84,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2010,37.41,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2011,37.97,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2012,38.02,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2013,38.01,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2014,38.42,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2015,38.08,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2016,37.82,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2017,38.13,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EE,2018,22.13,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EL,2012,5.02,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EL,2013,5.29,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EL,2014,5.15,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EL,2015,5.72,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EL,2016,5.67,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,EL,2017,6.4,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2008,9.13,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2009,9.26,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2010,10.6,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2011,11.08,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2012,11.53,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2013,12.27,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2014,12.2,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2015,12.62,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2016,12.83,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2017,13.4,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,ES,2018,13.34,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2008,15.69,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2009,15.7,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2010,15.25,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2011,15.11,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2012,15.49,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2013,15.5,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2014,16.42,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2016,16.48,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2017,16.27,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FI,2018,16.87,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2008,12.61,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2009,11.3,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2010,11.16,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2011,10.85,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2012,10.53,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2013,10.95,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2014,10.67,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2015,11.19,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2016,10.95,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2017,13.06,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,FR,2018,14.11,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2010,9.75,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2011,11.52,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2012,12.6,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2013,12.73,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2014,13.32,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2015,15.31,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2016,12.98,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2017,16.53,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HR,2018,18.24,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2008,23.78,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2009,24.24,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2010,24.71,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2011,25.79,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2012,26.02,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2013,26.41,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2014,26.41,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2015,26,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2016,25.71,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2017,26.12,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,HU,2018,25.96,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2008,21.32,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2009,22.36,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2010,23.52,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2011,22.73,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2012,23.29,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2014,25.22,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2015,18.19,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2016,8.55,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2017,22.2,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IE,2018,26.6,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2008,7.44,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2009,7.33,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2010,7.3,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2011,7.46,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2012,7.48,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2013,7.52,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2014,8.02,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2015,8.21,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2016,8.39,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2017,8.5,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,IT,2018,8.9,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2008,12.45,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2009,13.92,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2010,14.21,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2011,14.68,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2012,14.73,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2013,14.74,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2014,14.9,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2015,15.09,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2016,15.67,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2017,16.23,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LT,2018,16.66,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2009,39.45,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2010,41.13,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2011,39.96,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2012,38.34,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2013,39.07,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2014,39.45,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2015,39.05,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2016,39.92,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2017,40.3,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LU,2018,40.52,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PCH_1Y,LV,2009,-9.65,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2008,15.62,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2009,17.2,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2010,17.29,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2011,18.35,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2012,18.1,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2013,18.94,
