DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,2016,34905,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,2017,31797,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,2018,31106,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,2019,32758,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2008,296608,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2009,296970,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2010,307111,b
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2011,319816,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2012,327431,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2013,338752,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2014,340383,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2015,364221,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2016,377709,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2017,369621,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2018,387158,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2019,385591,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2008,16883,b
